Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig.CL	e.Driver	e.Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
PDGFRB	gbm	5	No	Unk	Other somatic drivers in other tissues	1	1	0.368471681186	1	0.0202	1	1	0.004807692	0.004807692	0.002	1	1	1	1	1	4
SPEN	gbm	14	No	Unk	Missense somatic drivers in other tissues	1	0.404506818873069	1	1	1	1	1	1	1	1	1	1	7.17302425305117e-05	1	1	1
ERBB2	gbm	7	No	OG	Missense somatic drivers in other tissues	1	1	0.368471681186	1	1	1	1	1.211984e-06	3.739943e-05	5e-04	1	1	0.0183001260213969	1	1	4
MYH9	gbm	6	No	Unk	Other somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.000630287737108157	1	1	1
ARID1A	gbm	5	No	TSG	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.00684760308731596	1	1	1
APC	gbm	7	No	TSG	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.000435582592687953	1	1	1
NOTCH2	gbm	8	No	OG/TSG	Missense somatic drivers in other tissues	1	0.567188416414979	1	1	1	1	1	1	1	1	1	1	0.00967292826225718	1	1	1
POT1	luad	18	No	Unk	Missense somatic drivers in other tissues	0.9357701	0.211729359791062	1	1	0.0368	1	1	1	1	1	0.639563	1	1	1	1	1
CYLD	luad	9	No	TSG	Missense somatic drivers in other tissues	1	1	0.0243861048848	1	0.231	1	1	1	1	1	1	1	1	1	1	1
SYK	luad	6	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.899	1	1	1	1	1	1	1	0.00178049534201214	1	1	1
DNM2	luad	6	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.0184	1	1	1	1	1	1	1	0.0142158807286784	1	1	2
MAX	luad	9	No	Unk	Missense somatic drivers in other tissues	0.08343979	0.495024547896152	1	1	0.00667	1	1	1	1	1	1	1	0.105888578443869	1	1	1
MAP2K4	luad	8	No	Unk	Missense somatic drivers in other tissues	0.1550875	0.0863390039662058	1	1	0.0295	1	1	1	1	1	1	1	1	1	1	1
CBLB	luad	10	No	TSG	Missense somatic drivers in other tissues	1	1	0.170584080939	1	0.572	1	1	1	1	1	1	1	0.0206825791520832	1	1	1
RAF1	luad	8	No	Unk	Other somatic drivers in other tissues	1	0.190220827242653	0.0002148138869	5.331656e-07	0.0852	1	1	1	1	1	1	1	1	1	1	2
FCGR2B	luad	18	No	Unk	Other somatic drivers in other tissues	0.2584217	1	0.0301408657406	1	0.274	1	1	1	1	1	1	1	1	1	1	1
TPR	luad	32	No	Unk	Other somatic drivers in other tissues	0.2174666	0.499365765083889	1	1	0.376	1	1	1	1	1	1	1	0.0058013391720412	1	1	1
EPS15	luad	6	No	Unk	Other somatic drivers in other tissues	1	0.441546792602883	1	1	0.842	1	1	1	1	1	1	1	0.0215952071846604	1	1	1
TRIM24	luad	9	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.826	1	1	1	1	1	1	1	0.0166416963518351	1	1	1
ABL2	luad	23	No	OG	Other somatic drivers in other tissues	1	0.545500564569676	1	1	0.776	1	1	1	1	1	1	1	0.00356328694389321	1	1	1
NFKB2	luad	9	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.616	1	1	1	1	1	1	1	0.00446965482523967	1	1	1
ABL1	luad	9	No	OG	Missense somatic drivers in other tissues	1	1	0.100384925611	1	0.79	1	1	1	1	1	1	1	0.000494809206300087	1	1	1
BCL11B	luad	17	No	OG/TSG	Other somatic drivers in other tissues	0.09008323	1	1	1	0.502	1	1	1	1	1	1	1	0.00565136310184199	1	1	1
SF3B1	luad	14	No	Unk	Missense somatic drivers in other tissues	1	0.822312469968719	0.167871495779	1	0.0329	1	1	1	1	1	0.615644	1	1	1	1	1
LZTR1	luad	15	No	TSG	Missense somatic drivers in other tissues	0.2971384	1	1	1	0.0284	1	1	1	1	1	1	1	1	1	1	1
MSN	luad	8	No	Unk	Other somatic drivers in other tissues	0.3507914	0.327765039948661	1	1	0.0156	1	1	1	1	1	1	1	0.0503134130755261	1	1	1
MSH6	luad	9	No	Unk	Missense somatic drivers in other tissues	1	0.625725917724838	1	1	0.0193	1	1	1	1	1	0.929167	1	0.0282970343882968	1	1	2
NRAS	luad	7	No	OG	Missense somatic drivers in other tissues	0.1815948	0.704231993621713	1	1	0.201	1	1	1	1	1	1	1	0.00356328694389321	3.49038776721308e-07	0.007960236	3
PCM1	luad	10	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.742	1	1	1	1	1	1	1	0.000306540758970577	1	1	1
CDK12	luad	16	No	TSG	Missense somatic drivers in other tissues	0.1403313	1	0.0904184786232	1	0.259	1	1	1	1	1	1	1	6.80824341901997e-08	1	1	1
MYH11	luad	29	No	Unk	Other somatic drivers in other tissues	0.7145214	1	0.419768345655	1	0.485	1	1	1	1	1	0.603107	1	0.0144011926969283	1	1	1
HOXA9	luad	5	No	OG	Other somatic drivers in other tissues	0.6693549	1	0.0107520760273	1	0.593	1	1	1	1	1	1	1	1	1	1	1
CLTC	luad	16	No	TSG	Other somatic drivers in other tissues	1	0.228892615957114	1	1	0.372	1	1	0.008116195	1	0.117	0.921578	1	1	1	1	1
BRIP1	luad	17	No	TSG	Other germline drivers in other tissues	0.8021723	1	1	1	0.907	1	1	1	1	1	1	1	0.043515374275479	1	1	1
AFF1	luad	8	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.592	1	1	1	1	1	1	1	0.0286699071918139	1	1	1
EP300	luad	11	No	Unk	Missense somatic drivers in other tissues	1	0.953270730696193	1	1	0.0933	1	1	1	1	1	1	1	0.00918083625779348	1	1	1
HLA-A	luad	13	No	Unk	Other somatic drivers in other tissues	0.167019	0.688420525921392	0.0107520760273	2.193151e-09	0.752	0.661938415232441	1	1	1	1	0.929167	1	1	1	1	2
DCTN1	luad	17	No	Unk	Other somatic drivers in other tissues	0.09556452	0.105282498259503	0.276989862247	1	0.918	1	1	1	1	1	1	1	0.00883019714499876	1	1	1
RANBP2	luad	34	No	Unk	Other somatic drivers in other tissues	1	0.589490395509597	1	1	0.378	1	1	1	1	1	1	1	1.49656321702126e-06	1	1	1
TSHR	luad	22	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.173	1	1	1	1	1	0.869734	1	1	1	0.002031438	1
CREBBP	luad	29	No	OG/TSG	Missense somatic drivers in other tissues	0.2926837	0.118790939503034	0.413920962489	1	0.32	1	1	0.001816382	1	0.374	1	1	1.49656321702126e-06	1	1	2
